from	to	combined_score	label
Gene_3675	Gene_3082	909	True
Gene_10048	Gene_3082	907	True
Gene_2249	Gene_3082	742	True
Gene_4804	Gene_3082	712	True
Gene_5594	Gene_3082	952	True
Gene_7076	Gene_3082	957	True
Gene_7040	Gene_3082	970	True
Gene_3675	Gene_3912	946	True
Gene_5954	Gene_3912	913	True
Gene_10272	Gene_3912	910	True
Gene_6694	Gene_3912	901	True
Gene_3053	Gene_3912	903	True
Gene_3956	Gene_3912	917	True
Gene_22795	Gene_3912	963	True
Gene_7076	Gene_3912	926	True
Gene_3082	Gene_3912	932	True
Gene_6422	Gene_51384	878	True
Gene_23409	Gene_10135	750	True
Gene_23411	Gene_10135	899	True
Gene_56729	Gene_10135	891	True
Gene_3675	Gene_3696	962	True
Gene_7040	Gene_3696	948	True
Gene_3202	Gene_3203	976	True
Gene_9341	Gene_6804	972	True
Gene_9342	Gene_6804	982	True
Gene_5603	Gene_10392	910	True
Gene_6300	Gene_10392	905	True
Gene_10562	Gene_10392	737	True
Gene_8767	Gene_10392	997	True
Gene_1080	Gene_8976	909	True
Gene_1856	Gene_8976	900	True
Gene_9341	Gene_8976	910	True
Gene_9423	Gene_8976	919	True
Gene_1947	Gene_8976	919	True
Gene_7414	Gene_8976	928	True
Gene_3082	Gene_8976	917	True
Gene_1361	Gene_5054	734	True
Gene_7076	Gene_5054	974	True
Gene_4313	Gene_5054	728	True
Gene_56729	Gene_5054	836	True
Gene_7040	Gene_5054	979	True
Gene_3082	Gene_5054	974	True
Gene_5351	Gene_8985	917	True
Gene_6376	Gene_727	901	True
Gene_1361	Gene_727	966	True
Gene_623	Gene_727	903	True
Gene_2896	Gene_4353	919	True
Gene_5594	Gene_4353	944	True
Gene_1511	Gene_4353	989	True
Gene_5834	Gene_4353	907	True
Gene_2717	Gene_4353	926	True
Gene_1666	Gene_4353	803	True
Gene_56729	Gene_4353	957	True
Gene_7066	Gene_1440	956	True
Gene_2057	Gene_1440	773	True
Gene_4353	Gene_1440	792	True
Gene_7145	Gene_6198	724	True
Gene_23411	Gene_6198	798	True
Gene_5594	Gene_6198	961	True
Gene_7249	Gene_6198	947	True
Gene_7040	Gene_6198	915	True
Gene_973	Gene_6198	901	True
Gene_1856	Gene_5216	907	True
Gene_7414	Gene_5216	887	True
Gene_8976	Gene_5216	806	True
Gene_84844	Gene_1655	921	True
Gene_8106	Gene_1655	926	True
Gene_3191	Gene_1655	933	True
Gene_6376	Gene_6347	819	True
Gene_7132	Gene_6347	780	True
Gene_5008	Gene_6347	711	True
Gene_5594	Gene_6347	795	True
Gene_3162	Gene_6347	821	True
Gene_7076	Gene_6347	722	True
Gene_4313	Gene_6347	825	True
Gene_6367	Gene_6347	733	True
Gene_6361	Gene_6347	726	True
Gene_1666	Gene_6347	793	True
Gene_56729	Gene_6347	706	True
Gene_3082	Gene_6347	785	True
Gene_10135	Gene_6347	734	True
Gene_5054	Gene_6347	752	True
Gene_4353	Gene_6347	702	True
Gene_1440	Gene_6347	885	True
Gene_6376	Gene_6346	950	True
Gene_623	Gene_6346	900	True
Gene_6361	Gene_6346	717	True
Gene_727	Gene_6346	902	True
Gene_6347	Gene_6346	708	True
Gene_6376	Gene_6357	943	True
Gene_623	Gene_6357	900	True
Gene_727	Gene_6357	900	True
Gene_6346	Gene_6357	916	True
Gene_51564	Gene_2648	963	True
Gene_990	Gene_2648	732	True
Gene_23411	Gene_2648	887	True
Gene_27161	Gene_2648	903	True
Gene_3675	Gene_1277	737	True
Gene_1634	Gene_1277	966	True
Gene_5351	Gene_1277	959	True
Gene_7076	Gene_1277	713	True
Gene_4313	Gene_1277	970	True
Gene_7040	Gene_1277	750	True
Gene_5118	Gene_1277	970	True
Gene_8985	Gene_1277	949	True
Gene_51564	Gene_10014	936	True
Gene_23468	Gene_10014	783	True
